Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Arts,Art and Design, 221,803,"Hawk,Adam",18,17,94.4%,3.293,4,6,3,,1,,1,,,,,1,1,,1,
Arts,Art and Design, 221,Course Total,Course Total,53,51,96.2%,2.934,6,15,8,4,3,4,3,1,3,,,3,1,,1,
Arts,Art and Design, 223,801,"Decker,Amy M",16,14,87.5%,3.166,3,4,2,2,,1,,,2,,,,1,,,
Arts,Art and Design, 223,Course Total,Course Total,16,14,87.5%,3.166,3,4,2,2,,1,,,2,,,,1,,,
Arts,Art and Design, 231,801,"Bertsch,Jamie Lea",16,15,93.8%,3.601,7,4,2,1,,,,1,,,,,,,,
Arts,Art and Design, 231,802,"Bertsch,Jamie Lea",14,14,100.0%,3.310,5,4,2,,1,1,,,,,,1,,,,
Arts,Art and Design, 231,803,"Cho,Kyoung Ae",14,14,100.0%,3.024,2,4,3,,2,1,1,,,,,1,,,,
Arts,Art and Design, 231,Course Total,Course Total,44,43,97.7%,3.318,14,12,7,1,3,2,1,1,,,,2,,,,
Arts,Art and Design, 243,801,"Vansen,Leslie Loomis",18,16,88.9%,3.757,5,9,1,,,,,,,,,,2,,,1
Arts,Art and Design, 243,802,"Walsh,Shane M",15,15,100.0%,3.668,5,7,2,,1,,,,,,,,,,,
Arts,Art and Design, 243,Course Total,Course Total,33,31,93.9%,3.713,10,16,3,,1,,,,,,,,2,,,1
Arts,Art and Design, 253,801,"Morris,Allen Bert",14,12,85.7%,2.639,1,1,3,1,3,,,1,1,,,1,1,,,
Arts,Art and Design, 253,802,"Schretenthaler,Leah Marie",13,13,100.0%,3.102,3,3,3,1,,1,1,,,,,1,,,,
Arts,Art and Design, 253,803,"Massey,Kayla Marie",14,12,85.7%,2.501,,4,3,,2,,,,,,,3,,,,
Arts,Art and Design, 253,Course Total,Course Total,41,37,90.2%,2.757,4,8,9,2,5,1,1,1,1,,,5,1,,,
Arts,Art and Design, 261,801,"Williams,Glenn W",12,11,91.7%,2.575,2,,2,2,1,1,,1,,1,,1,1,,,
Arts,Art and Design, 261,802,"Martin Meurer,Kathryn E",16,15,93.8%,3.155,3,1,2,7,,,2,,,,,,1,,,
Arts,Art and Design, 261,Course Total,Course Total,28,26,92.9%,2.910,5,1,4,9,1,1,2,1,,1,,1,2,,,
Arts,Art and Design, 271,801,"Bernard,Michael D",10,7,70.0%,4.000,7,,,,,,,,,,,,2,,,
Arts,Art and Design, 271,802,"Meier,Erica Ann",11,10,90.9%,3.099,4,,3,1,,,1,,,,,1,1,,,
Arts,Art and Design, 271,Course Total,Course Total,21,17,81.0%,3.470,11,,3,1,,,1,,,,,1,3,,,
Arts,Art and Design, 277,801,"Bridgewater,Chad Thomas",15,13,86.7%,3.807,6,5,1,,,,,,,,,,,,,1
Arts,Art and Design, 277,Course Total,Course Total,15,13,86.7%,3.807,6,5,1,,,,,,,,,,,,,1
Arts,Art and Design, 278,801,"Williams,Glenn W",19,17,89.5%,3.274,3,3,6,1,1,3,,,,,,,1,,,
Arts,Art and Design, 278,Course Total,Course Total,19,17,89.5%,3.274,3,3,6,1,1,3,,,,,,,1,,,
Arts,Art and Design, 281,801,"Davis-Benavides,Christopher L",13,13,100.0%,3.182,3,8,,,,,,,,,,2,,,,
Arts,Art and Design, 281,802,"Ware,Michael Andrew",13,12,92.3%,3.973,11,1,,,,,,,,,,,,,,
Arts,Art and Design, 281,Course Total,Course Total,26,25,96.2%,3.561,14,9,,,,,,,,,,2,,,,
Arts,Art and Design, 291,801,"LaFontaine,Claire Manon",14,13,92.9%,3.539,3,5,3,1,1,,,,,,,,,,,
Arts,Art and Design, 291,802,"Lampert,Nicolas R",16,16,100.0%,3.938,15,,,1,,,,,,,,,,,,
Arts,Art and Design, 291,Course Total,Course Total,30,29,96.7%,3.759,18,5,3,2,1,,,,,,,,,,,
Arts,Art and Design, 306,001,"Deal,Raoul G",7,6,85.7%,3.667,5,,,,,,1,,,,,,1,,,
Arts,Art and Design, 306,Course Total,Course Total,7,6,85.7%,3.667,5,,,,,,1,,,,,,1,,,
Arts,Art and Design, 309,001,"Lampert,Nicolas R",70,66,94.3%,3.309,32,14,3,3,3,2,2,,,2,2,3,4,,,
Arts,Art and Design, 309,293,"Lampert,Nicolas R",26,22,84.6%,3.650,14,1,3,2,,,,,,1,,,1,,,1
Arts,Art and Design, 309,Course Total,Course Total,96,88,91.7%,3.391,46,15,6,5,3,2,2,,,3,2,3,5,,,1
Arts,Art and Design, 314,801,"Willey,Christopher Robert",18,18,100.0%,3.963,16,2,,,,,,,,,,,,,,
Arts,Art and Design, 314,Course Total,Course Total,18,18,100.0%,3.963,16,2,,,,,,,,,,,,,,
Arts,Art and Design, 318,802,"Stern,Nathaniel E",9,9,100.0%,3.852,6,2,1,,,,,,,,,,,,,
Arts,Art and Design, 318,Course Total,Course Total,9,9,100.0%,3.852,6,2,1,,,,,,,,,,,,,
Arts,Art and Design, 321,801,"Decker,Amy M",18,18,100.0%,3.278,6,1,4,2,4,,,,1,,,,,,,
Arts,Art and Design, 321,802,"Grame,Robert E",18,18,100.0%,3.131,2,7,,2,3,2,2,,,,,,,,,
Arts,Art and Design, 321,803,"Blair,Adream V",15,15,100.0%,3.289,8,2,3,,,,,,,,,2,,,,
Arts,Art and Design, 321,Course Total,Course Total,51,51,100.0%,3.229,16,10,7,4,7,2,2,,1,,,2,,,,
Arts,Art and Design, 322,291,"Estes,Max J",19,18,94.7%,2.557,3,7,1,,,,,3,,,,4,,,,
Arts,Art and Design, 322,Course Total,Course Total,19,18,94.7%,2.557,3,7,1,,,,,3,,,,4,,,,
Arts,Art and Design, 324,801,"Moline,Lisa A",18,18,100.0%,2.813,4,1,3,2,1,1,1,1,,,1,1,,,,2
Arts,Art and Design, 324,802,"Moline,Lisa A",18,16,88.9%,2.960,4,5,,1,3,,,,1,,1,1,,,,
Arts,Art and Design, 324,Course Total,Course Total,36,34,94.4%,2.886,8,6,3,3,4,1,1,1,1,,2,2,,,,2
Arts,Art and Design, 325,801,"Apps,Tracy L",16,15,93.8%,3.289,10,1,,1,1,,,,,,,2,,,,
Arts,Art and Design, 325,Course Total,Course Total,16,15,93.8%,3.289,10,1,,1,1,,,,,,,2,,,,
Arts,Art and Design, 333,801,"Cho,Kyoung Ae",12,9,75.0%,2.814,1,1,2,,1,2,1,1,,,,,,,,
Arts,Art and Design, 333,Course Total,Course Total,12,9,75.0%,2.814,1,1,2,,1,2,1,1,,,,,,,,
Arts,Art and Design, 342,801,"Walsh,Shane M",19,18,94.7%,3.464,4,10,2,1,,,,,,,,1,,,,
Arts,Art and Design, 342,Course Total,Course Total,19,18,94.7%,3.464,4,10,2,1,,,,,,,,1,,,,
Arts,Art and Design, 343,801,"Vansen,Leslie Loomis",9,8,88.9%,3.585,3,3,,1,1,,,,,,,,,,,
Arts,Art and Design, 343,Course Total,Course Total,9,8,88.9%,3.585,3,3,,1,1,,,,,,,,,,,
Arts,Art and Design, 350,801,"Massey,Kayla Marie",19,18,94.7%,2.982,,7,2,4,1,2,1,,,,,1,,,,
Arts,Art and Design, 350,Course Total,Course Total,19,18,94.7%,2.982,,7,2,4,1,2,1,,,,,1,,,,
Arts,Art and Design, 358,801,"Lochman,Lindsay L",11,9,81.8%,3.519,4,1,2,,2,,,,,,,,2,,,
Arts,Art and Design, 358,Course Total,Course Total,11,9,81.8%,3.519,4,1,2,,2,,,,,,,,2,,,
Arts,Art and Design, 368,801,"Williams,Glenn W",10,10,100.0%,3.466,2,2,5,,1,,,,,,,,,,,
Arts,Art and Design, 368,Course Total,Course Total,10,10,100.0%,3.466,2,2,5,,1,,,,,,,,,,,
Arts,Art and Design, 371,801,"Meier,Erica Ann",12,12,100.0%,3.557,1,7,3,1,,,,,,,,,,,,
Arts,Art and Design, 371,Course Total,Course Total,12,12,100.0%,3.557,1,7,3,1,,,,,,,,,,,,
Arts,Art and Design, 381,801,"Ware,Michael Andrew",7,6,85.7%,3.778,4,1,,1,,,,,,,,,1,,,
Arts,Art and Design, 381,Course Total,Course Total,7,6,85.7%,3.778,4,1,,1,,,,,,,,,1,,,
Arts,Art and Design, 383,801,"Davis-Benavides,Christopher L",13,12,92.3%,3.583,7,,,5,,,,,,,,,1,,,
Arts,Art and Design, 383,Course Total,Course Total,13,12,92.3%,3.583,7,,,5,,,,,,,,,1,,,
Arts,Art and Design, 391,801,"Martens,Gregory Alan",17,16,94.1%,3.667,9,4,1,,,2,,,,,,,,,,
Arts,Art and Design, 391,Course Total,Course Total,17,16,94.1%,3.667,9,4,1,,,2,,,,,,,,,,
Arts,Art and Design, 392,801,"Brinich-Langlois,Cynthia A",12,11,91.7%,3.501,3,3,1,2,1,,,,,,,,,,,1
Arts,Art and Design, 392,Course Total,Course Total,12,11,91.7%,3.501,3,3,1,2,1,,,,,,,,,,,1
Arts,Art and Design, 421,801,"Beckmann,Kimberly D",16,15,93.8%,2.889,7,1,1,,1,1,,2,,,,2,,,,
Arts,Art and Design, 421,802,"Beckmann,Kimberly D",16,16,100.0%,2.918,7,2,,1,1,,2,1,,,,2,,,,
Arts,Art and Design, 421,Course Total,Course Total,32,31,96.9%,2.904,14,3,1,1,2,1,2,3,,,,4,,,,
Arts,Art and Design, 422,001,"Beckmann,Kimberly D",18,18,100.0%,2.946,6,2,1,1,4,1,,1,,,1,1,,,,
Arts,Art and Design, 422,002,"Blair,Adream V",16,15,93.8%,3.024,3,6,1,,2,,,1,,1,,1,,,,
Arts,Art and Design, 422,Course Total,Course Total,34,33,97.1%,2.981,9,8,2,1,6,1,,2,,1,1,2,,,,
Arts,Art and Design, 424,801,"Apps,Tracy L",16,16,100.0%,3.541,9,1,2,2,,1,1,,,,,,,,,
Arts,Art and Design, 424,Course Total,Course Total,16,16,100.0%,3.541,9,1,2,2,,1,1,,,,,,,,,
Arts,Art and Design, 427,801,"Decker,Amy M",17,17,100.0%,3.106,4,1,,3,7,1,,,,,,,,,,1
Arts,Art and Design, 427,802,"Moline,Lisa A",6,6,100.0%,2.723,2,1,,1,,,,1,,,,1,,,,
Arts,Art and Design, 427,803,,14,14,100.0%,3.617,6,,8,,,,,,,,,,,,,
Arts,Art and Design, 427,Course Total,Course Total,37,37,100.0%,3.177,12,2,8,4,7,1,,1,,,,1,,,,1
Arts,Art and Design, 442,801,"Walsh,Shane M",14,13,92.9%,3.848,7,6,,,,,,,,,,,1,,,
Arts,Art and Design, 442,Course Total,Course Total,14,13,92.9%,3.848,7,6,,,,,,,,,,,1,,,
Arts,Art and Design, 443,801,"Vansen,Leslie Loomis",10,9,90.0%,3.816,5,3,1,,,,,,,,,,1,,,
Arts,Art and Design, 443,Course Total,Course Total,10,9,90.0%,3.816,5,3,1,,,,,,,,,,1,,,
Arts,Art and Design, 454,801,"Lochman,Lindsay L",13,13,100.0%,2.691,,1,1,3,1,7,,,,,,,,,,
Arts,Art and Design, 454,Course Total,Course Total,13,13,100.0%,2.691,,1,1,3,1,7,,,,,,,,,,
Arts,Art and Design, 456,801,"Morris,Allen Bert",12,11,91.7%,3.090,3,,4,2,1,,,,,,,1,1,,,
Arts,Art and Design, 456,Course Total,Course Total,12,11,91.7%,3.090,3,,4,2,1,,,,,,,1,1,,,
Arts,Art and Design, 468,801,"Williams,Glenn W",7,7,100.0%,3.859,4,3,,,,,,,,,,,,,,
Arts,Art and Design, 468,Course Total,Course Total,7,7,100.0%,3.859,4,3,,,,,,,,,,,,,,
Arts,Art and Design, 478,001,"Bridgewater,Chad Thomas",9,9,100.0%,3.852,6,2,1,,,,,,,,,,,,,
Arts,Art and Design, 478,Course Total,Course Total,9,9,100.0%,3.852,6,2,1,,,,,,,,,,,,,
Arts,Art and Design, 495,801,"Martens,Gregory Alan",6,6,100.0%,3.610,3,,2,1,,,,,,,,,,,,
Arts,Art and Design, 495,Course Total,Course Total,6,6,100.0%,3.610,3,,2,1,,,,,,,,,,,,
Arts,Art and Design, 502,011,"Moline,Lisa A",6,6,100.0%,4.000,6,,,,,,,,,,,,,,,
Arts,Art and Design, 502,Course Total,Course Total,6,6,100.0%,4.000,6,,,,,,,,,,,,,,,
Arts,Art and Design, 505,501,"Wagner Lawler,Melissa Linda",16,16,100.0%,,,,,,,,,,,,,,,15,1,
Arts,Art and Design, 505,Course Total,Course Total,16,16,100.0%,,,,,,,,,,,,,,,15,1,
Arts,Art and Design, 509,002,"Ridgway,Nicole S",22,21,95.5%,2.763,1,7,2,3,2,,1,2,1,,1,1,1,,,
Arts,Art and Design, 509,004,"Ridgway,Nicole S",22,21,95.5%,3.444,12,2,2,1,1,2,,,,,,1,1,,,
Arts,Art and Design, 509,Course Total,Course Total,44,42,95.5%,3.104,13,9,4,4,3,2,1,2,1,,1,2,2,,,
Arts,Art and Design, 524,801,"Decker,Amy M",15,15,100.0%,3.024,3,4,2,,,2,1,,1,1,,,,,,1
Arts,Art and Design, 524,Course Total,Course Total,15,15,100.0%,3.024,3,4,2,,,2,1,,1,1,,,,,,1
Arts,Art and Design, 543,801,"Walsh,Shane M",10,9,90.0%,3.741,5,2,1,1,,,,,,,,,1,,,
Arts,Art and Design, 543,Course Total,Course Total,10,9,90.0%,3.741,5,2,1,1,,,,,,,,,1,,,
Arts,Art and Design, 552,801,"Morris,Allen Bert",8,7,87.5%,3.668,1,3,1,,,,,,,,,,1,,,2
Arts,Art and Design, 552,Course Total,Course Total,8,7,87.5%,3.668,1,3,1,,,,,,,,,,1,,,2
Arts,Art and Design, 604,801,"Brinich-Langlois,Cynthia A",43,42,97.7%,3.230,13,8,7,5,3,1,2,1,,,,2,1,,,
Arts,Art and Design, 604,Course Total,Course Total,43,42,97.7%,3.230,13,8,7,5,3,1,2,1,,,,2,1,,,
Arts,Art and Design, 605,501,"Wagner Lawler,Melissa Linda",19,19,100.0%,,,,,,,,,,,,,,,19,,
Arts,Art and Design, 605,Course Total,Course Total,19,19,100.0%,,,,,,,,,,,,,,,19,,
Arts,Art and Design, 900,801,"Vansen,Leslie Loomis",14,14,100.0%,4.000,14,,,,,,,,,,,,,,,
Arts,Art and Design, 900,Course Total,Course Total,14,14,100.0%,4.000,14,,,,,,,,,,,,,,,
Arts,Art and Design, 906,001,"Ridgway,Nicole S",6,6,100.0%,3.778,3,2,1,,,,,,,,,,,,,
Arts,Art and Design, 906,Course Total,Course Total,6,6,100.0%,3.778,3,2,1,,,,,,,,,,,,,
Arts,Art Education, 130,801,"Bril,Kaitlin Nicole",25,23,92.0%,3.493,14,3,2,2,,,,,,,1,1,1,,,
Arts,Art Education, 130,802,"Railand,Peter",19,18,94.7%,3.388,11,1,4,,,,,,,,,2,1,,,
Arts,Art Education, 130,803,"Loss,Catherine A",21,21,100.0%,3.905,17,3,,1,,,,,,,,,,,,
Arts,Art Education, 130,Course Total,Course Total,65,62,95.4%,3.602,42,7,6,3,,,,,,,1,3,2,,,
Arts,Art Education, 227,001,"Rex,Elizabeth A",10,9,90.0%,3.631,4,4,,,,,1,,,,,,1,,,
Arts,Art Education, 227,Course Total,Course Total,10,9,90.0%,3.631,4,4,,,,,1,,,,,,1,,,
Arts,Art Education, 228,001,"Rex,Elizabeth A",13,12,92.3%,3.862,9,2,,1,,,,,,,,,1,,,
Arts,Art Education, 228,Course Total,Course Total,13,12,92.3%,3.862,9,2,,1,,,,,,,,,1,,,
Arts,Art Education, 327,801,"Cosier,Kimberly J",22,19,86.4%,3.720,11,5,1,1,,,1,,,,,,1,,,
Arts,Art Education, 327,Course Total,Course Total,22,19,86.4%,3.720,11,5,1,1,,,1,,,,,,1,,,
Arts,Dance, 103,801,"Goulet,Susan I",32,31,96.9%,3.634,17,2,7,3,1,1,,,,,,,,,,
Arts,Dance, 103,802,"Hansen,Alexander J",31,30,96.8%,3.556,19,1,3,3,3,,,,,,,1,1,,,
Arts,Dance, 103,803,"Melchior,Ann M",32,30,93.8%,3.178,11,5,6,1,2,2,,,,,,3,2,,,
Arts,Dance, 103,804,"Hansen,Alexander J",32,32,100.0%,3.532,10,10,5,5,1,,1,,,,,,,,,
Arts,Dance, 103,805,"Radloff,Tracey D",31,25,80.6%,3.240,15,1,2,2,,2,,,,,,3,5,,,
Arts,Dance, 103,806,"Hansen,Alexander J",32,31,96.9%,3.355,16,3,5,1,2,1,,1,,,,2,1,,,
Arts,Dance, 103,808,"Melchior,Ann M",31,30,96.8%,3.556,17,6,1,1,3,1,,,,,,1,,,,
Arts,Dance, 103,809,"Radloff,Tracey D",31,29,93.5%,3.575,19,5,1,,,1,1,1,,,,1,1,,,
Arts,Dance, 103,810,"Radloff,Tracey D",32,32,100.0%,3.678,21,6,,3,1,,,,,,,1,,,,
Arts,Dance, 103,811,"Arends Haggith,Sara N",31,27,87.1%,3.618,18,5,1,,,1,,1,,,,1,1,,,
Arts,Dance, 103,812,"Hansen,Alexander J",30,29,96.7%,3.226,17,1,2,1,1,1,2,,,,,3,1,,,1
Arts,Dance, 103,813,"Melchior,Ann M",32,30,93.8%,3.839,21,5,2,,,1,,,,,,,2,,,1
Arts,Dance, 103,814,"Radloff,Tracey D",30,26,86.7%,3.270,17,3,,1,,,1,,,1,,3,2,,,
Arts,Dance, 103,815,"Melchior,Ann M",32,32,100.0%,3.553,16,8,2,3,1,,1,,,,,1,,,,
Arts,Dance, 103,816,"Melchior,Ann M",31,31,100.0%,3.592,21,4,3,,1,,,,,,,2,,,,
Arts,Dance, 103,Course Total,Course Total,470,445,94.7%,3.499,255,65,40,24,16,11,6,3,,1,,22,16,,,2
Arts,Dance, 111,801,"Anderson,Melissa L",21,21,100.0%,3.264,9,4,,2,2,,,,,,,2,,,,2
Arts,Dance, 111,812,"Anderson,Melissa L",7,7,100.0%,3.953,6,1,,,,,,,,,,,,,,
Arts,Dance, 111,831,"Anderson,Melissa L",7,7,100.0%,3.810,6,,,,1,,,,,,,,,,,
Arts,Dance, 111,Course Total,Course Total,35,35,100.0%,3.504,21,5,,2,3,,,,,,,2,,,,2
Arts,Dance, 113,801,"Schuchart,Dan S",12,11,91.7%,2.787,6,,1,,,,,,1,2,,1,,,,
Arts,Dance, 113,811,"Kuepper,Danielle R",15,13,86.7%,3.438,4,7,,1,,,,,,,,1,2,,,
Arts,Dance, 113,Course Total,Course Total,27,24,88.9%,3.140,10,7,1,1,,,,,1,2,,2,2,,,
Arts,Dance, 115,801,"Laurenzi,Gina Roberta",6,6,100.0%,3.057,,2,,2,1,1,,,,,,,,,,
Arts,Dance, 115,812,"Laurenzi,Gina Roberta",6,6,100.0%,3.612,3,1,1,,1,,,,,,,,,,,
Arts,Dance, 115,Course Total,Course Total,12,12,100.0%,3.279,3,3,1,2,2,1,,,,,,,,,,
Arts,Dance, 122,801,"Walker,Demar T",20,20,100.0%,3.367,1,10,8,,,,,,,,,1,,,,
Arts,Dance, 122,802,"Pinder-fearen,Phaleshia A",24,23,95.8%,3.681,18,,2,2,,,,,,,,1,,,,
Arts,Dance, 122,803,"World Heil,Kris L",25,24,96.0%,3.916,21,,3,,,,,,,,,,,,,
Arts,Dance, 122,804,"World Heil,Kris L",21,20,95.2%,3.583,13,1,4,,,,,1,,1,,,,,,
Arts,Dance, 122,805,"Turner,Valencia Ann",23,21,91.3%,3.111,12,1,1,2,,1,1,,,,,3,1,,,
Arts,Dance, 122,Course Total,Course Total,113,108,95.6%,3.546,65,12,18,4,,1,1,1,,1,,5,1,,,
Arts,Dance, 209,001,"Berlin Krivsky,Jessica L",22,20,90.9%,3.867,18,1,,,,,,1,,,,,1,,,
Arts,Dance, 209,Course Total,Course Total,22,20,90.9%,3.867,18,1,,,,,,1,,,,,1,,,
Arts,Dance, 211,811,"Laurenzi,Gina Roberta",8,8,100.0%,3.793,4,3,1,,,,,,,,,,,,,
Arts,Dance, 211,Course Total,Course Total,8,8,100.0%,3.793,4,3,1,,,,,,,,,,,,,
Arts,Dance, 213,811,"Gillespie,Maria Soledad",19,19,100.0%,3.947,17,1,1,,,,,,,,,,,,,
Arts,Dance, 213,Course Total,Course Total,19,19,100.0%,3.947,17,1,1,,,,,,,,,,,,,
